Country,Year,Gender,Metric,Value
Finland,2015,Male,Part Time Employment,38.06
Finland,2015,Female,Vulnerable Employment,7.311239373
Finland,2015,Male,Vulnerable Employment,12.51179132
France,2015,Female,Employment to population ratio,46.539
France,2015,Male,Employment to population ratio,54.332
France,2015,Female,Labour Force Participation Rate,51.64
France,2015,Male,Labour Force Participation Rate,60.902
France,2015,Female,Part Time Employment,35.13
France,2015,Male,Part Time Employment,19.05
France,2015,Female,Vulnerable Employment,5.995105012
France,2015,Male,Vulnerable Employment,8.556945824
French Polynesia,2015,Female,Employment to population ratio,43.003
French Polynesia,2015,Male,Employment to population ratio,56.481
French Polynesia,2015,Female,Labour Force Participation Rate,49.174
French Polynesia,2015,Male,Labour Force Participation Rate,63.307
French Polynesia,2015,Female,Vulnerable Employment,13.14841268
French Polynesia,2015,Male,Vulnerable Employment,18.91862112
Gabon,2015,Female,Employment to population ratio,28.559
Gabon,2015,Male,Employment to population ratio,48.306
Gabon,2015,Female,Labour Force Participation Rate,39.79
Gabon,2015,Male,Labour Force Participation Rate,56.334
Gabon,2015,Female,Vulnerable Employment,37.79051437
Gabon,2015,Male,Vulnerable Employment,27.23840632
"Gambia, The",2015,Female,Employment to population ratio,48.905
"Gambia, The",2015,Male,Employment to population ratio,63.111
"Gambia, The",2015,Female,Labour Force Participation Rate,53.303
"Gambia, The",2015,Male,Labour Force Participation Rate,67.481
"Gambia, The",2015,Female,Vulnerable Employment,82.84789328
"Gambia, The",2015,Male,Vulnerable Employment,67.65962038
Georgia,2015,Female,Employment to population ratio,50.782
Georgia,2015,Male,Employment to population ratio,65.219
Georgia,2015,Female,Labour Force Participation Rate,59.005
Georgia,2015,Male,Labour Force Participation Rate,80.251
Georgia,2015,Female,Vulnerable Employment,52.43743125
Georgia,2015,Male,Vulnerable Employment,52.31446007
Germany,2015,Female,Employment to population ratio,52.4
Germany,2015,Male,Employment to population ratio,62.595
Germany,2015,Female,Labour Force Participation Rate,54.708
Germany,2015,Male,Labour Force Participation Rate,65.868
Germany,2015,Female,Part Time Employment,57.38
Germany,2015,Male,Part Time Employment,25.67
Germany,2015,Female,Vulnerable Employment,5.241454838
Germany,2015,Male,Vulnerable Employment,6.904311115
Ghana,2015,Female,Employment to population ratio,60.78
Ghana,2015,Male,Employment to population ratio,68.379
Ghana,2015,Female,Labour Force Participation Rate,65.06
Ghana,2015,Male,Labour Force Participation Rate,73.541
Ghana,2015,Female,Vulnerable Employment,79.56510061
Ghana,2015,Male,Vulnerable Employment,62.74877807
Greece,2015,Female,Employment to population ratio,31.602
Greece,2015,Male,Employment to population ratio,45.917
Greece,2015,Female,Labour Force Participation Rate,44.531
Greece,2015,Male,Labour Force Participation Rate,58.674
Greece,2015,Female,Part Time Employment,33.29
Greece,2015,Male,Part Time Employment,21.15
Greece,2015,Female,Vulnerable Employment,25.20761128
Greece,2015,Male,Vulnerable Employment,30.1562885
Guam,2015,Female,Employment to population ratio,52.782
Guam,2015,Male,Employment to population ratio,63.681
Guam,2015,Female,Labour Force Participation Rate,56.471
Guam,2015,Male,Labour Force Participation Rate,68.62
Guam,2015,Female,Vulnerable Employment,6.487647022
Guam,2015,Male,Vulnerable Employment,11.24860534
Guatemala,2015,Female,Employment to population ratio,37.114
Guatemala,2015,Male,Employment to population ratio,82.022
Guatemala,2015,Female,Labour Force Participation Rate,38.484
Guatemala,2015,Male,Labour Force Participation Rate,83.701
Guatemala,2015,Female,Vulnerable Employment,45.92770962
Guatemala,2015,Male,Vulnerable Employment,32.67960124
Guinea,2015,Female,Employment to population ratio,44.778
Guinea,2015,Male,Employment to population ratio,61.282
Guinea,2015,Female,Labour Force Participation Rate,47.187
Guinea,2015,Male,Labour Force Participation Rate,64.914
Guinea,2015,Female,Vulnerable Employment,89.7184723
Guinea,2015,Male,Vulnerable Employment,78.69462499
Guinea-Bissau,2015,Female,Employment to population ratio,47.412
